Ticker,mkt_cap,pb_ratio,beta,profit_margin,roa,roe
NI,,,0.30,-1.26%,3.00%,-1.06%
NBL,,,2.62,-143.04%,-4.16%,-74.05%
NSC,,,1.38,20.47%,5.99%,13.89%
NTRS,,,1.07,23.59%,1.03%,12.89%
NLOK,,,1.16,162.14%,4.11%,29.03%
NRG,,,1.04,44.34%,8.61%,"7,059.50%"
NUE,,,1.42,2.49%,4.62%,5.77%
ODFL,,,1.06,14.95%,12.57%,20.38%
NVDA,,,1.35,25.93%,11.67%,27.94%
ORLY,,,1.09,14.45%,12.20%,422.01%
OXY,,,1.90,-56.15%,-6.22%,-47.00%
NOC,,,,,,
NCLH,,,2.61,-43.46%,-0.26%,-38.60%
NFLX,,,,,,
NVR,,,,,,
ORCL,,,0.85,25.94%,7.89%,57.78%
OKE,,,2.01,7.13%,5.35%,9.88%
PKG,,,1.21,7.65%,8.08%,16.99%
PAYX,,,0.89,27.18%,10.60%,40.66%
OTIS,,,N/A,7.30%,N/A,N/A
PYPL,,,1.21,13.44%,3.27%,15.27%
PH,,,1.63,8.81%,6.67%,19.95%
PCAR,,,1.19,7.95%,4.77%,16.96%
OMC,,,,,,
PNR,,,1.36,11.58%,6.57%,18.14%
PBCT,,,1.20,26.78%,0.87%,6.66%
PEP,,,0.59,10.13%,7.93%,51.81%
PRGO,,,1.17,4.73%,2.66%,4.13%
PFE,,,0.73,28.81%,5.49%,22.81%
PKI,,,1.42,9.87%,4.39%,10.37%
PM,,,0.80,24.98%,17.35%,N/A
PAYC,,,,,,
PXD,,,1.75,5.18%,3.64%,3.60%
PSX,,,1.52,-1.35%,1.95%,-3.52%
PNC,,,1.24,51.49%,0.73%,6.19%
PRU,,,1.69,-0.22%,0.02%,-0.17%
PGR,,,0.54,10.86%,6.42%,29.17%
PNW,,,0.36,17.37%,2.53%,11.29%
PLD,,,0.98,40.85%,2.10%,6.06%
PFG,,,1.61,7.82%,0.36%,8.68%
PPG,,,,,,
PG,,,,,,
PPL,,,,,,
PEG,,,0.62,18.09%,3.23%,11.50%
PSA,,,0.13,49.72%,7.99%,16.06%
PVH,,,2.03,-8.56%,1.11%,-14.87%
QRVO,,,1.47,12.05%,5.17%,9.02%
PHM,,,1.43,10.94%,9.36%,21.27%
PWR,,,1.13,3.13%,4.44%,9.71%
QCOM,,,1.39,13.72%,6.56%,62.58%
RL,,,1.27,2.67%,2.10%,5.01%
RJF,,,1.35,11.33%,2.10%,12.87%
REG,,,0.88,8.36%,1.91%,1.50%
O,,,0.64,30.30%,2.77%,5.05%
RF,,,1.66,16.52%,0.55%,4.36%
DGX,,,,,,
REGN,,,0.55,34.32%,12.71%,31.72%
RTX,,,,,,
RMD,,,0.51,21.02%,11.63%,27.21%
ROL,,,0.51,10.15%,11.74%,26.43%
ROP,,,1.08,29.75%,5.23%,17.64%
RCL,,,2.43,-24.36%,-0.23%,-17.54%
ROK,,,1.49,11.85%,10.42%,68.36%
RHI,,,1.54,6.42%,13.58%,32.32%
CRM,,,N/A,N/A,N/A,N/A
ROST,,,0.80,4.25%,4.20%,17.63%
SPGI,,,1.05,36.20%,21.98%,108.32%
RSG,,,,,,
SLB,,,2.09,-73.90%,2.54%,-89.58%
STX,,,1.00,9.55%,9.72%,50.85%
SEE,,,1.19,8.24%,8.57%,N/A
SRE,,,0.74,39.12%,2.93%,11.05%
SHW,,,1.25,9.83%,7.72%,45.76%
SWKS,,,1.29,24.13%,10.48%,18.80%
NOW,,,1.34,18.42%,2.21%,38.95%
SLG,,,1.55,21.32%,1.59%,4.19%
SNA,,,1.37,15.21%,8.97%,17.37%
SBAC,,,,,,
SPG,,,,,,
SO,,,0.44,15.75%,2.88%,10.05%
LUV,,,1.17,0.98%,-1.59%,1.57%
SWK,,,1.55,5.88%,4.17%,8.81%
SBUX,,,0.79,5.56%,4.70%,N/A
STT,,,1.51,20.95%,0.95%,9.84%
STE,,,0.76,13.69%,6.50%,12.21%
SYY,,,1.06,0.41%,5.01%,11.55%
TROW,,,1.18,35.29%,17.00%,26.36%
TGT,,,0.80,4.16%,7.37%,28.78%
TPR,,,1.34,-13.14%,3.69%,-22.53%
SYK,,,0.85,11.38%,6.31%,12.96%
TMUS,,,0.30,5.18%,3.29%,5.25%
TTWO,,,0.61,13.22%,6.10%,18.86%
SNPS,,,1.15,17.88%,5.46%,14.70%
SIVB,,,,,,
SYF,,,,,,
TEL,,,1.34,-0.81%,5.81%,-1.12%
FTI,,,2.29,-43.28%,2.60%,-78.93%
TFX,,,0.99,18.99%,4.40%,16.64%
TJX,,,0.71,2.11%,2.78%,14.28%
TMO,,,1.07,14.12%,4.87%,12.65%
TXN,,,1.10,36.88%,19.11%,62.60%
TSCO,,,1.04,7.40%,9.60%,42.51%
TIF,,,1.00,6.72%,3.56%,7.72%
TDY,,,,,,
TXT,,,,,,
TT,,,1.46,6.04%,6.62%,17.65%
TRV,,,0.87,5.83%,1.39%,7.00%
TWTR,,,0.88,-37.06%,-0.42%,-15.39%
TFC,,,1.43,22.14%,0.97%,7.10%
TYL,,,0.76,16.96%,4.66%,11.60%
TSN,,,0.64,4.26%,5.89%,12.54%
UAA,,,1.19,-15.21%,-0.36%,-39.50%
TDG,,,,,,
ULTA,,,1.40,4.41%,5.23%,15.62%
USB,,,1.15,27.09%,1.03%,9.97%
UDR,,,,,,
UNP,,,1.05,27.54%,8.18%,32.14%
UA,,,1.19,-15.21%,-0.36%,-39.50%
UAL,,,1.41,-5.25%,-1.66%,-17.69%
UPS,,,0.95,5.66%,6.13%,99.49%
VFC,,,0.97,3.62%,5.30%,8.10%
UHS,,,1.11,6.53%,6.39%,13.35%
URI,,,2.27,12.37%,7.04%,30.17%
VLO,,,1.91,1.30%,2.69%,7.30%
UNM,,,1.66,8.12%,1.32%,9.64%
UNH,,,,,,
VAR,,,1.11,8.24%,6.51%,14.23%
VTR,,,1.16,10.55%,1.91%,3.82%
VRSN,,,0.87,63.32%,27.53%,N/A
VRSK,,,0.73,19.12%,8.52%,23.52%
VRTX,,,0.88,38.51%,15.25%,33.06%
V,,,0.88,51.37%,12.73%,33.34%
VNO,,,1.30,20.79%,1.40%,2.53%
VMC,,,0.79,12.60%,5.22%,11.34%
WMT,,,0.32,3.30%,5.88%,22.90%
WAB,,,1.51,5.29%,2.93%,4.31%
WBA,,,0.51,0.55%,2.67%,3.27%
VIAC,,,,,,
DIS,,,1.10,-1.58%,1.97%,-0.87%
WAT,,,0.99,22.61%,15.15%,282.74%
WRB,,,,,,
VZ,,,,,,
WFC,,,1.11,9.19%,0.30%,3.11%
WELL,,,0.84,26.20%,2.18%,8.17%
WST,,,1.17,14.69%,9.34%,18.73%
WM,,,,,,
WDC,,,1.55,-1.49%,0.88%,-2.56%
WEC,,,,,,
WY,,,1.95,4.67%,2.68%,3.63%
WRK,,,1.44,4.37%,2.79%,6.62%
WHR,,,2.06,4.42%,3.75%,21.71%
WU,,,,,,
XEL,,,0.30,12.50%,2.53%,10.88%
WMB,,,,,,
XLNX,,,0.99,21.22%,8.99%,26.16%
ZBRA,,,1.67,11.41%,9.04%,29.39%
XYL,,,1.07,5.09%,4.22%,8.73%
WLTW,,,,,,
ZBH,,,1.35,0.52%,2.24%,0.31%
YUM,,,0.88,18.78%,19.81%,N/A
WYNN,,,,,,
ZION,,,1.65,20.46%,0.66%,6.39%
XRX,,,,,,
ZTS,,,0.79,25.51%,11.78%,59.87%
