,Ticker,mkt_cap,pb_ratio,beta,profit_margin,ROA,ROE
294,L,9.62,0.57,0.73,-0.0911,-0.0034999999999999996,-0.08039999999999999
295,LOW,112.58,65.6,1.49,0.0712,0.11800000000000001,1.6363999999999999
296,LYB,21.94,3.0,1.53,0.0677,0.053200000000000004,0.22149999999999997
297,MTB,13.34,0.92,1.14,0.27649999999999997,0.011399999999999999,0.09380000000000001
298,MRO,4.83,0.4,3.23,-0.1618,-0.0054,-0.0559
299,MPC,24.3,1.01,2.09,-0.07490000000000001,0.0129,-0.2191
300,MKTX,19.0,23.82,0.5,0.4275,0.217,0.34700000000000003
301,MAR,27.8,,1.68,0.1199,0.025699999999999997,0.7976000000000001
302,MMC,54.37,7.45,0.83,0.1183,0.0756,0.245
303,MLM,12.87,2.43,0.92,0.1407,0.0552,0.1177
304,MAS,13.13,,1.51,0.19899999999999998,0.1235,13.037
305,MA,296.88,55.0,1.1,0.4512,0.1979,1.2561
306,MKC,23.28,6.55,0.38,0.1374,0.0621,0.2118
307,MXIM,16.17,9.98,1.34,0.2988,0.1173,0.3738
308,MCD,137.26,,0.68,0.2495,0.0941,
309,MCK,24.87,4.89,0.77,0.004,0.0294,0.1376
310,MDT,129.6,2.55,0.69,0.158,0.028300000000000002,0.0876
311,MRK,195.58,7.46,0.47,0.222,0.1119,0.3785
312,MET,33.15,0.47,1.31,0.1073,0.008,0.1047
313,MTD,19.31,63.02,1.05,0.1861,0.1699,1.1462
314,MGM,8.29,1.01,2.4,0.2208,-0.009300000000000001,0.1543
315,MCHP,26.59,4.76,1.6,0.1223,0.0259,0.1193
316,MU,53.28,1.44,1.34,0.1116,0.030899999999999997,0.0622
317,MSFT,1540.0,13.46,0.89,0.3096,0.11259999999999999,0.4014
318,MAA,13.11,2.19,0.62,0.2043,0.0245,0.056600000000000004
319,MHK,7.24,0.92,1.53,0.052000000000000005,0.0286,0.0613
320,TAP,7.5,0.59,0.88,-0.016200000000000003,0.028999999999999998,-0.011000000000000001
321,MDLZ,73.02,2.84,0.63,0.1306,0.038599999999999995,0.12990000000000002
322,MNST,36.56,9.44,1.04,0.2657,0.18109999999999998,0.2764
323,MCO,51.57,88.6,1.14,0.33399999999999996,0.1413,1.9209
324,MS,76.13,0.98,1.44,0.2125,0.0102,0.1117
325,MOS,4.74,0.57,1.93,-0.1292,0.0058,-0.11869999999999999
326,MSI,23.81,,0.74,0.11019999999999999,0.10039999999999999,
327,MSCI,27.92,,0.85,0.3214,0.1353,
328,MYL,8.31,0.74,1.51,0.0235,0.0353,0.0229
329,NDAQ,19.62,3.64,0.77,0.16219999999999998,0.053,0.141
330,NOV,4.76,0.87,1.84,-0.3556,-0.0108,-0.39520000000000005
331,NTAP,9.83,40.64,1.3,0.1447,0.0736,1.3827
332,NFLX,200.68,23.86,0.97,0.1185,0.0697,0.34729999999999994
333,NWL,6.74,1.95,1.04,-0.1124,0.0285,-0.24969999999999998
334,NEM,49.58,2.27,0.36,0.3679,0.0349,0.1864
335,NWSA,7.0,0.89,1.56,-0.1409,0.0155,-0.16519999999999999
336,NWS,7.0,0.9,1.56,-0.1409,0.0155,-0.16519999999999999
337,NEE,117.6,3.23,0.21,0.18710000000000002,0.0315,0.0766
338,NLSN,5.3,2.59,1.21,-0.0989,0.026600000000000002,-0.2368
339,NKE,153.3,16.95,0.84,0.0679,0.0707,0.297
340,NI,8.71,1.79,0.22,-0.0126,0.03,-0.0106
