Ticker,mkt_cap,pb_ratio,beta,profit_margin,ROA,ROE
EOG,20910.0,0.97,1.96,0.12789999999999999,0.0482,0.102
EFX,14500.0,5.62,1.19,0.0745,0.044500000000000005,0.10949999999999999
EQIX,53670.0,6.07,0.41,0.0913,0.0287,0.059500000000000004
EQR,22960.0,2.23,0.62,0.4316,0.0274,0.113
ESS,14410.0,2.32,0.71,0.3921,0.030299999999999997,0.1043
EL,57360.0,12.54,0.77,0.0843,0.1036,0.2926
EVRG,12480.0,1.46,0.49,0.1268,0.0274,0.0731
ES,26310.0,2.08,0.38,0.11019999999999999,0.0296,0.07490000000000001
RE,7690.0,0.84,0.41,0.0816,0.0155,0.079
EXC,35870.0,1.11,0.45,0.0775,0.0226,0.07139999999999999
EXPE,7880.0,1.99,,-0.054299999999999994,0.0226,-0.1542
EXPD,11090.0,5.05,0.74,0.0711,0.129,0.2761
EXR,12360.0,4.86,0.19,0.32270000000000004,0.0492,0.1677
XOM,160550.0,0.84,1.36,0.045700000000000005,0.0152,0.06
FFIV,6460.0,3.35,1.11,0.1477,0.07629999999999999,0.1966
FB,475550.0,4.71,1.16,0.2857,0.134,0.21850000000000003
FAST,17900.0,6.72,1.14,0.1483,0.17559999999999998,0.3164
FRT,5640.0,2.38,0.96,0.3734,0.0308,0.1317
FDX,36860.0,1.98,1.32,-0.005,0.004699999999999999,-0.018000000000000002
FIS,74930.0,1.52,0.68,0.014499999999999999,0.0203,0.0058
FITB,10560.0,0.54,1.73,0.2532,0.0101,0.0855
FE,21710.0,3.11,0.47,0.062400000000000004,0.0199,0.0834
FRC,14100.0,1.62,1.17,0.275,0.008199999999999999,0.0951
FISV,64019.99999999999,1.94,0.84,0.0851,0.0255,0.0593
FLT,15630.0,4.21,1.49,0.3237,0.0661,0.275
FLIR,4160.0,2.22,1.58,0.0662,0.0556,0.0695
FLS,3100.0,1.73,1.85,0.0496,0.049800000000000004,0.1201
FMC,10570.0,4.18,1.25,0.1002,0.0672,0.2
F,19770.0,0.6,1.25,-0.0206,0.0006,-0.0933
FTNT,16450.0,12.44,0.92,0.16440000000000002,0.0727,0.46630000000000005
FTV,18590.0,2.52,1.29,0.0828,0.044800000000000006,0.0855
FBHS,6080.0,2.51,1.59,0.0781,0.0767,0.1979
FOXA,14070.0,1.38,,0.1074,0.0823,0.1444
FOX,14070.0,1.34,,0.1074,0.0823,0.1444
BEN,8270.0,0.82,1.31,0.1729,0.0672,0.08710000000000001
FCX,9800.0,1.05,2.25,-0.056799999999999996,-0.0011,-0.046900000000000004
GPS,6500.0,1.79,1.43,0.021400000000000002,0.0596,0.10220000000000001
GRMN,14320.0,2.99,0.98,0.253,0.1072,0.21050000000000002
IT,8890.0,9.47,1.48,0.067,0.04190000000000001,0.3292
GD,37960.0,2.8,,,,
GE,69450.0,2.45,0.96,-0.0253,0.012199999999999999,0.1259
GIS,29680.0,3.85,0.57,0.1268,0.0626,0.2673
GM,29690.0,0.71,1.39,0.036000000000000004,0.0169,0.1081
GPC,9710.0,2.64,1.1,0.0311,0.0471,0.17079999999999998
GILD,93750.0,4.16,0.73,0.2184,0.0536,0.2229
GL,7660.0,1.05,1.13,0.1632,0.0253,0.11800000000000001
GPN,43130.0,1.55,1.14,0.07780000000000001,0.024700000000000003,0.0316
GS,53160.0,0.67,1.45,0.214,0.0074,0.0802
GWW,13340.0,7.16,0.96,0.0658,0.13119999999999998,0.3912
HRB,4470.0,,0.83,0.12960000000000002,0.1164,
HAL,5990.0,0.75,2.53,-0.106,0.0378,-0.2788
HBI,2740.0,2.21,1.53,0.0764,0.0658,0.5354
HOG,2900.0,1.61,1.45,0.0693,0.0308,0.2094
HIG,12610.0,0.79,0.97,0.0833,0.0245,0.1167
HAS,9800.0,3.27,0.94,0.0833,0.0521,0.1916
HCA,30330.0,,1.31,0.059000000000000004,0.09609999999999999,
PEAK,12830.0,2.11,0.69,0.1226,0.009899999999999999,0.0391
HP,1680.0,0.42,2.12,-0.19469999999999998,0.0159,-0.1292
HSIC,7200.0,2.4,0.91,0.0711,0.0626,0.1941
HSY,27580.0,15.86,0.18,0.1394,0.1232,0.7177
HES,10230.0,1.17,2.29,-0.4718,0.0032,-0.2863
