,Symbol,Security,GICS Sector,GICS Sub Industry,CIK
105,CI,CIGNA Corp.,Health Care,Managed Health Care,701221
106,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,20286
107,CTAS,Cintas Corporation,Industrials,Diversified Support Services,723254
108,CSCO,Cisco Systems,Information Technology,Communications Equipment,858877
109,C,Citigroup Inc.,Financials,Diversified Banks,831001
110,CFG,Citizens Financial Group,Financials,Regional Banks,759944
111,CTXS,Citrix Systems,Information Technology,Application Software,877890
112,CLX,The Clorox Company,Consumer Staples,Household Products,21076
113,CME,CME Group Inc.,Financials,Financial Exchanges & Data,1156375
114,CMS,CMS Energy,Utilities,Multi-Utilities,811156
115,KO,Coca-Cola Company,Consumer Staples,Soft Drinks,21344
116,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,1058290
117,CL,Colgate-Palmolive,Consumer Staples,Household Products,21665
118,CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,1166691
119,CMA,Comerica Inc.,Financials,Diversified Banks,28412
120,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,23217
121,CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,1358071
122,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1163165
123,ED,Consolidated Edison,Utilities,Electric Utilities,1047862
124,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,16918
125,COO,The Cooper Companies,Health Care,Health Care Supplies,711404
126,CPRT,Copart Inc,Industrials,Diversified Support Services,900075
127,GLW,Corning Inc.,Information Technology,Electronic Components,24741
128,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,1755672
129,COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,909832
130,COTY,"Coty, Inc",Consumer Staples,Personal Products,1024305
131,CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,1051470
132,CSX,CSX Corp.,Industrials,Railroads,277948
133,CMI,Cummins Inc.,Industrials,Industrial Machinery,26172
134,CVS,CVS Health,Health Care,Health Care Services,64803
135,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,882184
136,DHR,Danaher Corp.,Health Care,Health Care Equipment,313616
137,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,940944
138,DVA,DaVita Inc.,Health Care,Health Care Facilities,927066
139,DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,315189
140,DAL,Delta Air Lines Inc.,Industrials,Airlines,27904
141,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,818479
142,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,1090012
143,DXCM,DexCom,Health Care,Health Care Equipment,1093557
144,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,1539838
145,DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,1297996
146,DFS,Discover Financial Services,Financials,Consumer Finance,1393612
147,DISCA,"Discovery, Inc. (Class A)",Communication Services,Broadcasting,1437107
148,DISCK,"Discovery, Inc. (Class C)",Communication Services,Broadcasting,1437107
149,DISH,Dish Network,Communication Services,Cable & Satellite,1001082
150,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,29534
151,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,935703
152,D,Dominion Energy,Utilities,Electric Utilities,715957
153,DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,1286681
154,DOV,Dover Corporation,Industrials,Industrial Machinery,29905
155,DOW,Dow Inc.,Materials,Commodity Chemicals,1751788
156,DTE,DTE Energy Co.,Utilities,Multi-Utilities,936340
157,DUK,Duke Energy,Utilities,Electric Utilities,1326160
158,DRE,Duke Realty Corp,Real Estate,Industrial REITs,783280
159,DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,1666700
160,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,1688568
161,ETFC,E*Trade,Financials,Investment Banking & Brokerage,1015780
162,EMN,Eastman Chemical,Materials,Diversified Chemicals,915389
163,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1551182
164,EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,1065088
165,ECL,Ecolab Inc.,Materials,Specialty Chemicals,31462
166,EIX,Edison Int'l,Utilities,Electric Utilities,827052
167,EW,Edwards Lifesciences,Health Care,Health Care Equipment,1099800
168,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,712515
169,EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,32604
170,ETR,Entergy Corp.,Utilities,Electric Utilities,65984
