ESCA,25202010
ESE,20106020
ESGR,40301050
ESI,15101050
ESNT,40102010
ESPR,35201010
ESQ,40101015
ESRT,60101010
ESS,60101060
ESSA,40102010
ESTC,45103010
ESTE,10102020
ESXB,40101015
ETFC,40203020
ETH,25201020
ETM,50201020
ETN,20104010
ETNB,35201010
ETR,55101010
ETRN,10102040
ETSY,25502020
EV,40203010
EVBG,45103010
EVBN,40101015
EVC,50201020
EVER,50203010
EVFM,35202010
EVH,35103010
EVI,20107010
EVLO,35201010
EVOP,45102020
EVR,40203020
EVRG,55101010
EVRI,25301010
EVTC,45102020
EW,35101010
EWBC,40101015
EXAS,35201010
EXC,55101010
EXEL,35201010
EXLS,45102020
EXP,15102010
EXPD,20301010
EXPE,25502020
EXPI,60102040
EXPO,20202020
EXPR,25504010
EXR,60101080
EXTN,10101020
EXTR,45201020
EYE,25504040
EYPT,35202010
EZPW,40202010
F,25102010
FAF,40301040
FANG,10102020
FARM,30202030
FARO,45203010
FAST,20107010
FATE,35201010
FB,50203010
FBC,40102010
FBHS,20102010
FBIZ,40101015
FBK,40101015
FBM,20107010
FBMS,40101015
FBNC,40101015
FBP,40101015
FC,20202020
FCAP,40101015
FCBC,40101015
FCBP,40101015
FCCY,40101015
FCF,40101015
FCFS,40202010
FCN,20202020
FCNCA,40101015
FCPT,60101080
FCX,15104025
FDBC,40101015
FDEF,40102010
FDP,30202010
FDS,40203040
FDX,20301010
FE,55101010
FELE,20106020
FET,10101020
FEYE,45103020
FF,15101050
FFBC,40101015
FFG,40301020
FFIC,40101015
FFIN,40101015
FFIV,45201020
FFNW,40101015
FFWM,40101015
FG,40201020
FGBI,40101015
FGEN,35201010
FHB,40101015
FHI,40203010
FHN,40101015
FI,10101020
FIBK,40101015
FICO,45103010
FIS,45102020
FISI,40101015
FISV,45102020
FIT,45203010
FITB,40101015
FIVE,25504040
FIVN,45103010
FIX,20103010
FIXX,35201010
FIZZ,30201030
FL,25504010
FLDM,35203010
FLIC,40101015
FLIR,45203010
FLMN,10102020
FLNT,50201010
FLO,30202030
FLOW,20106020
FLR,20103010
FLS,20106020
FLT,45102020
FLWS,25502020
FLXN,35201010
FLXS,25201020
FMAO,40101015
FMBH,40101015
FMBI,40101015
FMC,15101030
FMNB,40101015
FN,45203020
FNB,40101015
FNCB,40101015
FND,25504030
FNF,40301040
FNHC,40301040
FNKO,25501010
FNLC,40101015
FNWB,40101015
FOCS,40203010
FOE,15101050
FOLD,35201010
FOR,60102030
FORM,45301010
FORR,20202020
FOSL,25203010
FOX,50201020
FOXA,50201020
FOXF,25101010
FPI,60101080
FPRX,35201010
FR,60101020
FRAF,40101015
FRBA,40101015
FRBK,40101015
FRC,40101015
FREQ,35201010
FRGI,25301040
FRME,40101015
FRPH,60102020
FRPT,30202030
FRT,60101070
FRTA,15102010
FSB,40101015
FSBW,40102010
FSCT,45103020
FSLR,45301020
FSP,60101040
FSS,20106010
FSTR,20106020
FTDR,25302020
FTK,15101050
FTNT,45103020
FTSI,10101020
FTV,20106020
FUL,15101050
FULC,35202010
FULT,40101015
FVCB,40101015
FWONA,50202010
FWONK,50202010
FWRD,20301010
G,45102020
GABC,40101015
GAIA,50202010
GALT,35201010
GATX,20107010
GBCI,40101015
GBL,40203010
GBLI,40301040
GBT,35201010
GBX,20106010
GCAP,40203020
GCBC,40102010
GCI,50201040
GCO,25504010
GCP,15101050
GD,20101010
GDDY,45102030
GDEN,25301010
GDOT,40202010
GDP,10102020
GE,20105010
GEF,15103010
GEF/B,15103010
GEN,35102020
GENC,20106020
GEO,60101080
GEOS,10101020
GERN,35201010
GES,25504010
GFF,20102010
GFN,20107010
GGG,20106020
GH,35102015
GHC,25302010
GHL,40203020
GHM,20106020
GIII,25203010
GILD,35201010
GIS,30202030
GKOS,35101010
GL,40301020
GLDD,20103010
GLIBA,50101010
GLNG,10102040
GLOG,10102040
GLPI,60101080
GLRE,40301050
GLT,15105020
GLUU,50202020
GLW,45203015
GLYC,35201010
GM,25102010
GME,25504020
GMED,35101010
GMRE,60101050
GMS,20107010
GNC,25504040
GNE,55101010
GNK,20303010
GNL,60101010
GNLN,25501010
GNMK,35101010
GNRC,20104010
GNTX,25101010
GNTY,40101015
GNW,40301020
GO,30101030
GOGO,50102010
GOLF,25202010
GOOD,60101010
GOOG,50203010
GOOGL,50203010
GORO,15104030
GOSS,35201010
GPC,25501010
GPI,25504050
GPK,15103020
GPMT,40204010
GPN,45102020
GPOR,10102020
GPRE,10102030
GPRO,25201010
GPS,25504010
GPX,20202010
GRA,15101050
GRBK,25201030
GRC,20106020
GRIF,60102020
GRMN,25201010
GRPN,25502020
GRTS,35201010
GRTX,35201010
GRUB,25502020
GS,40203020
GSBC,40101015
GSHD,40301010
GSIT,45301020
GT,25101020
GTES,20106020
GTHX,35201010
GTLS,20106020
GTN,50201020
GTS,35102030
GTT,45102030
GTY,60101070
GTYH,45103010
GVA,20103010
GWB,40101015
GWGH,40201040
GWRE,45103010
GWRS,55104010
GWW,20107010
H,25301020
HA,20302010
HAE,35101020
HAFC,40101015
HAIN,30202030
HAL,10101020
HALL,40301040
HALO,35201010
HARP,35201010
HAS,25202010
HASI,60101020
HAYN,15104050
HBAN,40101015
HBB,25201040
HBCP,40102010
HBI,25203010
HBMD,40101015
HBNC,40101015
HBT,40101015
HCA,35102020
HCAT,35103010
HCC,15104050
HCCI,20201050
HCI,40301040
HCKT,45102010
HCSG,20201070
HD,25504030
HDS,20107010
HE,55101010
HEES,20107010
HEI,20101010
HEI/A,20101010
HELE,25201040
HES,10102020
HFC,10102030
HFFG,30101020
HFWA,40101015
HGV,25301020
HHC,60102030
HI,20106020
HIBB,25504040
HIFS,40102010
HIG,40301030
HII,20101010
HIW,60101040
HL,15104045
HLF,30302010
HLI,40203020
HLIO,20106020
HLIT,45201020
HLNE,40203010
HLT,25301020
HLX,10101020
HMHC,25302010
HMN,40301030
HMST,40102010
HMSY,35103010
HMTV,50201020
HNGR,35102020
