CPGX,10102040,213111
CPNLQ,NA,221112
CPRI,25203010,448140
CPRT,20201070,425120
CR,20106020,332912
CRM,45103010,511210
CSC,45102010,541512
CSCO,45201020,334210
CSRA,45102010,541512
CSX,20304010,482111
CTAS,20201070,812331
CTB,25101020,326211
CTL,50101010,517311
CTSH,45102010,541511
CTVA,15101030,325000
CTXS,45103010,511210
CVC,50201030,515210
CVG,45102020,541512
CVH,NA,621491
CVS,35102015,446110
CVX,10102010,324110
CXO,10102020,211130
D,55103010,551112
DAL,20302010,481111
DALRQ,NA,481111
DCNAQ,NA,327120
DD,15101050,325211
DDS,25503010,452210
DE,20106015,333111
DFODQ,30202030,311511
DFS,40202010,522210
DG,25503020,452319
DGX,35102015,621512
DHI,25201030,236117
DHR,35101010,334513
DIS,50202010,512110
DISCA,50201020,515120
DISCK,50201020,515120
DISH,50201030,517110
DJ,NA,511110
DLR,60101080,531190
DLTR,25503020,452319
DLX,20201010,323111
DNR,10102020,211130
DOFSQ,10101010,213111
DOV,20106020,333316
DOW,15101010,325613
DPHIQ,NA,336320
DRE,60101020,531120
DRI,25301040,722513
DTE,55103010,551112
DUK,55101010,551112
DVA,35102015,334510
DVN,10102020,211120
DXC,45102010,541512
DYNIQ,NA,221112
EA,50202020,511210
EBAY,25502020,454110
ECL,15101050,561720
ED,55103010,551112
EFX,20202020,561450
EHC,35102020,621498
EIX,55101010,551112
EKDKQ,45202030,333244
EL,30302010,325620
EMC,45202030,334112
EMN,15101020,325211
EMR,20104010,335999
ENDP,35202010,424210
EOG,10102020,211120
EOP,NA,531120
EP,NA,486210
EQIX,60101080,518210
EQR,60101060,531110
EQT,10102020,486210
ES,55101010,551112
ESRX,35102015,446110
ESS,60101060,531110
ETFC,40203020,523120
ETN,20104010,335313
ETR,55101010,551112
EVHC,35102015,621493
EVRG,55101010,551112
EW,35101010,621111
EXC,55101010,551112
EXPD,20301010,488510
EXPE,25502020,561599
EXR,60101080,531130
F,25102010,336111
FANG,10102020,211130
FAST,20107010,423840
FB,50203010,519130
FBF,NA,NA
FBHS,20102010,236118
FCX,15104025,212230
FDO,25503020,452319
FDX,20301010,492110
FE,55101010,551112
FFIV,45201020,511210
FHI,40203010,523920
FHN,40101015,522110
FIS,45102020,522320
FISV,45102020,518210
FITB,40101015,522110
FL,25504010,448210
FLIR,45203010,334513
FLR,20103010,541330
FLS,20106020,333914
FLT,45102020,522320
FMC,15101030,325180
FMCC,40102010,522294
FNMA,40102010,522294
FOSL,25203010,334519
FOX,50201020,519000
FOXA,50201020,519000
FRC,40101015,522110
FRT,60101070,531120
FRX,NA,325412
FSH,NA,334516
FSL/B,NA,NA
FSLR,45301020,334413
FTI,10101020,333132
FTNT,45103020,541519
FTRCQ,50101020,517110
FTV,20106020,334513
GAS,55102010,551112
GD,20101010,336611
GDT,NA,339113
GDW,NA,522120
GE,20105010,336412
GENZ,NA,325412
GGP,60101070,531190
GHC,25302010,511110
GILD,35201010,325414
GIS,30202030,311230
GL,40301020,524113
GLW,45203015,335921
GM,25102010,336111
GMCR,30202030,311920
GME,25504020,451120
GNW,40301020,524113
GOLD,15104030,212221
GOOG,50203010,519130
GOOGL,50203010,519130
GP,NA,322121
GPC,25501010,424990
GPN,45102020,522320
GPS,25504010,448140
GR,NA,336415
GRMN,25201010,334511
GS,40203020,523110
GT,25101020,326211
GTW,NA,334111
GWW,20107010,333413
HAL,10101020,213112
HAR,25201010,334310
HAS,25202010,339930
HBAN,40101015,522110
HBI,25203010,315240
HCA,35102020,622110
HCBK,40102010,522120
HD,25504030,444110
HES,10102020,211130
HET,NA,713210
HFC,10102030,324110
HIG,40301030,524113
HII,20101010,336611
HLT,25301020,721110
HMA,NA,622110
HNZ,NA,311421
HOG,25102020,336991
HOLX,35101010,334517
HON,20105010,334512
HOT,25301020,721110
HP,10101010,213111
HPC,NA,322110
HPE,45202030,518210
HPQ,45202030,334111
HRB,25302020,541213
HRL,30202030,311611
HSH,30202030,311999
HSIC,35102010,423450
HSP,35202010,325412
HST,60101030,531120
HSY,30202030,311352
HUM,35102030,524114
HWM,20101010,331318
IBM,45102010,541512
ICE,40203040,523210
IDXX,35101010,541940
IEX,20106020,333914
IFF,15101050,325199
ILMN,35203010,334516
IMNX,NA,325414
INCLF,NA,212230
INCY,35201010,541711
INFO,20202020,541511
INTC,45301020,334413
INTU,45103010,511210
IP,15103020,424110
IPG,50201010,541810
IPGP,45203020,334413
IQV,35203010,541714
IRM,60101080,561499
ISRG,35101010,621610
IT,45102010,541690
ITT,20106020,332420
ITW,20106020,333318
IVZ,40203010,523920
J,20103010,541330
JAVA,NA,511210
JBHT,20304020,484121
JBL,45203020,334412
JCI,20102010,334419
JCPNQ,25503010,452210
JEF,40201030,523110
JHF,NA,524113
JKHY,45102020,541512
JNJ,35202010,325412
JNPR,45201020,334210
JNS,40203010,523920
JNY,NA,315190
JOY,20106010,333131
JPM,40101010,522110
JWN,25503010,452210
K,30202030,311230
KATE,25203010,315240
KBH,25201030,236117
KDP,30201030,312111
KEY,40101015,522110
KEYS,45203010,334513
KG,NA,325412
KHC,30202030,112320
KIM,60101070,531120
KLAC,45301010,333242
KMB,30301010,322291
KMI,10102040,486210
KMRTQ,NA,452311
KMX,25504050,441110
KO,30201030,312111
KR,30101030,445110
KRB,NA,522210
KRFT,30202030,311919
KRI,NA,511110
KSE,NA,221210
KSS,25503010,452210
KSU,20304010,482111
L,40301040,524126
LB,25504010,448120
LDOS,45102010,541330
LEG,25201020,337121
